,bairro,cep,cidade,descricao,estado,preco,tilulo,tipo
940,Candelária,59066-100,Natal,"Funcionando tudo perfeitamente, apenas algumasmarcas de uso na parte de trás que da capinha fez!iCloud livre e desbloqueado para todas asoperadoras Acompanha todos os acessórios + capinha Parcelo no Cartão em até 12x com acréscimos Contato: 99153-2584... ver número meu WhatsApp ",Usado,1499,IPhone 7 32GB ACEITO CARTÃO ,Iphone
942,Neópolis,59088-510,Natal,Xiaomi PocoPhone F1 Lacrado Global. - - Maiores informações Fala No Whatsapp - Whatsapp 9.9631-2285... ver número Tim - Configurações Do PocoPhone F1. - Tela 6.18 Polegadas - Camera Dupla 12MP+5MP- Frontal 20MP - Super Processador Snapdragon(845)- Memória interna 64GB 6GB RAM - Bateria De Alta Duração 4000mAh- Carregamento Turbo - Dual Chip 4G - Versão Global - Leitor Biométrico - Roda Qualquer Jogo ,Novo,1599,Xiaomi PocoPhone F1 64GB 6GB RAM Lacrado. ,Samsung
943,Lagoa Azul,59129-490,Natal,vendo ou troco em outro com volta do interessado 4mês de uso chama no zap 987222387... ver número,Usado,360,Moto g 4 play ,Motorola e Lenovo
944,Alecrim,59037-000,Natal,"OBS: vendo frontal do Moto Z2 force Novas comgarantia de 2 meses, Nossa loja fica no Alecrim naav 9 dentro da galeria Sol Nascente do lado daentrada do shopping 10 loja portugalcell, Tambemoferecermos o frete grátis duvidas telefone pracontato (84)9967495... ver número13 ",Novo,690,Frontal Moto Z2 Force ( Oferecermos o frete Grátis) ,Motorola e Lenovo
945,Praia do Meio,59010-120,Natal,vendo moto g3 em perfeito estado funcionandoperfeitamente ,Usado,300,Moto g3 ,Motorola e Lenovo
946,Cidade da Esperança,59071-470,Natal,iPhone 7 32gb funcionando tudo !!acompanha apenas carregador ! ,Usado,1450,IPhone 7 32gb ,Iphone
948,Nossa Senhora De Nazaré,59060-360,Natal,"Nota: O Chat da OLX pode falhar, para terrespostas mais rápidas, envie mensagem nowhatsapp: 99676-4387... ver númeroFaça Chamadas diretamente do seu Smartwatch iguala um celular!Utiliza processador MTK6260A e com Bluetooth 3.0para ligar-se com o seu Smartphone para serutilizado como um marcador para que você possafazer e receber chamadas, bem como proporcionarchamada e notificação de mensagem.Não só isso, mas você pode usar o softwarepersonalizado para controlar seus movimentosdiários, uma vez que foi construído em umpedômetro, monitor de sono e lembrete sedentário.A capacidade de sincronizar com o seu calendáriode telefones significa que, você não vai esquecersuas reuniões importantes e com característicasanti perda você será lembrado se vocêacidentalmente deixar o seu celular para trás. Sevocê estiver indo para uma corrida ou simplesmentenão quer levar seu celular, você pode inserir umcartão Micro SIM no relógio e deixar o seutelefone em casa.O relógio do telefone pode fazer tudo para quevocê não precise sair sem ele. A tela sensível aotoque de 1,56 polegadas fornece uma interfaceclara para que você possa acessar as funções deáudio e vídeo.A câmera permite tirar fotos e vídeo de seupróprio modo. O slot para cartão micro SD pode serutilizado para fornecer até 32 GB de armazenamentoremovível para todo o seu conteúdo de mídia e comuma duração de bateria de espera 180horas.Você Pode Discar Ou Atender Uma Chamada DeTelefone A Partir Do Seu Relógio De PulsoLista Telefónica / Registo De Chamadas /Sincronização De Mensagem / MúsicaNão Precisa Tirar Atenção Para O Seu Celular, VocêTambém Pode Receber Notificações A Partir DoTelefone Smartwatch1,54 Polegadas Touch ScreenTamanho Do Ecrã Mais Adequado Com Imagem De AltaDefinição Exibindo Lhe Dá Grande ExperiênciaCâmera De 0,3mpVocê Pode Livremente Tirar Foto E Gravar Vídeo ESincronizar Seu SmartphoneCaptura RemotaVocê Também Pode Usar O Relógio Para Controlar ACâmera Do Seu Telefone, Mas A Câmera Do SeuTelefone Deve Está Ligado Com AntecedênciaMonitoramento Do SonoMonitora Cuidadosamente A Qualidade Do Sono, ParaFornecê-Lo Com Um Tempo De Sono CientíficaPedômetroGravar Os Passos A Tomar E Sua Distância DeMovimento Para Fazer Com Que Você Se Tornar MaisSaudávelLembrete SedentárioDesenvolve Hábitos Saudáveis Ao Lembrá-Lo De TerUma Pausa Depois De Se Sentar Ao LongoDe Alarme Anti-LostSe O Seu Smartphone Está Fora Da Distância QueVocê Definiu, O Relógio Irá Tocar Ou Vibrar ParaLembrarOutras CaracterísticasGravador / Alarme / Calendário / Calculadora /Worldclock Som E VídeoPulseira De Silicone NaturalAnti- Suor Tratamento De Superfície De Silicone,Design Ergonómico Convexa, Veste Mais ConfortávelTipo Watch PhoneCpu Mtk6261Memória Externa Tf Cartão De Até 32gb (NãoIncluído)Tipo De Tela CapacitivoTamanho Da Tela 1,54 PolegadasResolução Da Tela 240 X 240Sim Card Slot Único Sim (Sim Slot Para Micro)Slot Para Cartão Tf SimConectividade Sem Fios Gsm, BluetoothTipo De Rede GsmFreqüência Gsm850 / 900/1800 / 1900... ver númeromhzBluetooth SimTipo De Câmera ÚnicoCâmara Frontal 0.3mpGravação De Vídeo SimFormato De Imagem Jpeg, Gif, BmpMúsica Formato Mp3, WavFormato De Vídeo Mp4Tamanho Do Produto 4,79 X 4 X 1,18 CmTamanho Do Pacote 9,9 X 9,9 X 7,4 CmPeso Do Produto 0,053 KgPeso Do Pacote 0,260 KgItens Inclusos1 Relógio Smartwatch 1 cabo usb1 na caixa original*Relógio ideal para usar no seu dia a dia enquantodirige seu carro, moto, bicicleta, enquantopratica algum esporte ou dar de presente deaniversário. *Bluetooth Compatível com Samsung, Moto G(Motorola), LG, Nokia, Sony, Xiaomi, iPhone 5/6/7,galaxy S9, note 8, mi band 2, dentre outrasmarcas.Ótimo presente para aniversárioEntrega Grátis: Lagoa Nova, Dix Sept Rosado,Centro da Cidade, Alecrim Natal shopping/Carrefour, Zona Norte (Apenas Locais Públicos)Whatsapp: (84) 9967643... ver número87(Envie sua dúvida pelo Whatsapp para receber umamensagem mais rápida!) ",Novo,129,Relógio inteligente ,Outras marcas
950,Quintas,59040-480,Natal,"vendo ou troco em tablet se for venda 220,00 preçoa negociar ou troco em tablet conservado pois meucelular é bem conservado ** nota,carregador,caixinha,ainda tá na garantia ",Usado,220,Moto g 2 16 g ,Motorola e Lenovo
951,Planalto,59073-350,Natal,"Vendo/troco ,aceito cartão, faço entrega.WhatsApp 99632-2005... ver número(Ítalo) ",Usado,750,IPhone SE 16gb ,Iphone
952,Capim Macio,59078-000,Natal,"iPhone 6s 32gb Gold, sem marcas de uso Completo WhatsApp 91627714 ",Usado,1350,IPhone 6s 32gb com nota fiscal ,Iphone
953,Potengi,59120-000,Natal,"vendo iPhone SE 32gb novo(não troco)um ano de garantianota fiscalcaixa e acessórios6x sem juros1099,00whatsapp: 99656-5221... ver número",Novo,1099,IPhone SE 32gb rose ,Iphone
954,Capim Macio,59078-000,Natal,"IPhone 7 Plus 32gb Gold, funcionandoperfeitamente, acompanha carregador e caixa WhatsApp 91627714 ",Usado,2200,IPhone 7 Plus 32gb ,Iphone
955,Potengi,59129-000,Natal,Vendo tablet Motorola muito bom 32 gigas dememória 10 polegadas com flash ,Usado,300,Tablet Motorola ,Motorola e Lenovo
956,Lagoa Azul,59129-470,Natal,vendo ou troco em outro de preferência moto g 5scom volta minha acompanhar a caixa e a nota fiscalchama no zap 988905472... ver número,Usado,350,Lg k10 pra vender ou troca em outro ,LG
957,Nossa Senhora De Nazaré,59060-400,Natal,"smart relógio de primeira qualidade para que tupossas usar na sua casa, carro andando de motopara ligar e atender ligações ver mensagens*WhatsApp Como foram um celular. troco por iPhone ",Usado,600,Vendo ou troco samsung GEAD S3 ,Samsung
958,Capim Macio,59078-000,Natal,"IPhone 5s 16gb Gold, funcionando perfeitamente ",Usado,450,IPhone 5s 16gb ,Iphone
959,Cidade Nova,59072-780,Natal,celular ótimo .zap 91382568 ,Usado,770,J6+ Plus ,Samsung
960,Pitimbu,59068-460,Natal,"Celular novinho, sem defeito algum!!Bateria 100%Bio OkPossui apenas carregador original e capa!! ",Usado,980,IPhone 6 32 gb ,Iphone
962,Lagoa Nova,59054-380,Natal,Celular novo 2 meses de uso Bateria zero(Dura 24hrs)Vendo ou troco em iPhone ,Usado,700,Moto-g 7 Power ,Outras marcas
963,Potengi,59124-000,Natal,celula LG k10 pro 7.0 seme novo ,Usado,550,996725391 ,LG
964,Nossa Senhora da Apresentação,59114-250,Natal,fone ou zap 988229925... ver número,Usado,170,Samsung j 105. bem conservado!! ,Samsung
965,Nossa Senhora da Apresentação,59114-012,Natal,"vende um um k6 dourado,32 gigas,biometria,câmeras,13,t 8f,tela de 5, memória ram2,dua chip,bateria de 3000ham,com película.tel9903-3152  ",Usado,290,Vende-se um k6 dourado ,Motorola e Lenovo
966,Nossa Senhora da Apresentação,59114-357,Natal,novíssimo ,Usado,950,Vendo celular j8 ,Samsung
967,Nossa Senhora da Apresentação,59114-007,Natal,Praticamente Novo ,Novo,450,MotoG 4 Plus ,Motorola e Lenovo
968,Potengi,59125-092,Natal,"problema no touch , o resto tá tudo funcionando !,vendo e troco ",Usado,150,"Moto c trincado e, só dá pra usar girando a tela . ",Motorola e Lenovo
969,Nordeste,59042-568,Natal,"S7 caiu e a tela foi manchando aos poucos atéapagar de vez, o restante ta funcionando, no casoa placa*Aceito cartão*Aceito trocas ",Usado,100,S7 tela sem funcionar ,Samsung
970,Lagoa Azul,59135-140,Natal,"moto g4 Plus 32gb de memória biometria OKbateria OKo único problema do celular é essas gotinhasBranca , mas nao interfere no uso. motivo da venda: precisando de dinheiro.qualquer coisa, falar no bp ",Usado,350,Moto g4 Plus ,Motorola e Lenovo
971,Cidade Alta,59025-250,Natal,trincado mais funciona tudo celular muito bom 32GBde memoria interna 2GB de RAM octacore Android8.1.0 câmeras muito boas celular muito bom ,Usado,300,Zenfone 3 Max vendo também aceito propostas ,Asus
972,Planalto,59073-130,Natal,Tela com trinco mas funcionando normalmente semnenhum problema*Valor negociávelWhatsapp 99925-2332... ver número,Usado,200,Motorola G 3° geração ,Motorola e Lenovo
973,Capim Macio,59082-180,Natal,IPhone 7 32GB semi-novo muito conservado emexcelente estadoFuncionamento 100% em todas as funçõesBiometria funcionando iCloud Livre Acompanha carregador e caixaAceito cartão de crédito com acréscimo de taxas ,Usado,1500,Iphone 7 32gb ,Iphone
974,Rocas,59010-660,Natal,"IPhone 6s 64GBFUNCIONANDO PERFEITAMENTE Pegando todas as operadoras ACOMPANHA Cabo, carregador e fone ( novos ) Aceito cartão em até 12x com acréscimos Não faço trocas! ",Usado,1350,IPhone 6s 64GB ,Iphone
975,Potengi,59120-200,Natal,"pouco tempo de uso, nem uma marca de uso. acompanha carregador original. vendo e também troco ",Usado,1600,S9 ,Samsung
976,Capim Macio,59082-180,Natal,"Phone 7 32GB Aparelho semi-novo funcionando tudo perfeitamentee bem conservado, apenas algumas marcas de uso natraseiraBiometria funcionando iCloud Livre 100% FuncionandoAcompanha caixa e carregadorAceito cartão de crédito com acréscimo ",Usado,1500,Iphone 7 32gb ,Iphone
977,Tirol,59020-200,Natal,"Seminovo,Sem riscos ou Arranhões,Todo original$2.300,00 99419-0010... ver número Watts ou Celular Parcelo nocartão com acréscimo ",Usado,2300,IPHONE 8 64gb Preto ,Iphone
978,Nossa Senhora da Apresentação,59114-230,Natal,Celular esta semi novo pegando tudo perfeitamentevai com o carregado mais detalhes no whats ouchart ou liga 996847715... ver número,Usado,380,Vendo ou troco moto g4 plus 32g ,Motorola e Lenovo
979,Quintas,59035-260,Natal,"Iphone 7 256gb Pega todas as operadoras WiFi okBateria okBiometria okPegando tudo perfeitamente.Mais informações pv.Analiso trocas. Preferência 6s, s8Obs: O iPhone 7 está pegando tudoperfeitamente,porém está com o iCloud do antigodono, a conta do app story tá livre. Uso elenormalmente nunca tive problemas. Quem tiverinteresse só falar ",Usado,1600,Iphone 7 256gb ,Iphone
980,Bom Pastor,59060-102,Natal,"só vendo ,valor negociável, qualquer coisa falacomigo pelo whats 9 8733-6087... ver número",Usado,500,Só vendo Moto G5 S ,Motorola e Lenovo
981,Quintas,59040-580,Natal,tela sem nenhum risco. tem uma mancha branca nodisplay mais so v quando coloca na tela brancapegando apenas um chip mais celular da pra quebraum gailhão 988433910... ver número menor valor ok ,Usado,100,Samsung win ,Samsung
982,Capim Macio,59080-060,Natal,iPhone 6S 16 gigas 3 meses de garantia pela loja ,Usado,1050,IPhone 6S 16 gigas 3 meses de garantia pela loja ,Iphone
983,Cidade Alta,59025-330,Natal,"Vendo Samsung Galaxy J7Prime 32gbacompanha capinha, ótimo estado PREÇO À NEGOCIAR Mais informações whats: (84)99657-0514... ver número",Usado,750,Samsung Galaxy J7Prime ,Samsung
984,Quintas,59040-580,Natal,"Celular muito conservado, funcionando tudo, 64GB.Aceito cartão, mais informações chama no Whatsapp99227-7510... ver número",Usado,1500,IPhone 6sPlus Gold ,Iphone
985,Planalto,59073-232,Natal,"Aparelho telefone único dono, comprado em Março de2017, nunca foi aberto ou trocada qualquer peça enão há trinco. Ele possui nota fiscal original defábrica com caixa NÃO ACEITO TROCAS qualquerdúvida me chame no WhatsApp 98753-4449... ver número negociovalores ",Usado,350,Samsung Galaxy J5 J500 ,Samsung
986,Lagoa Seca,59022-230,Natal,Óculos de realidade virtual ,Usado,40,Óculos de realidade virtual ,Acessórios
987,Pajuçara,59125-310,Natal,Sony Z3 para retirar as peças após uma queda e eleficou assim trincou a tela e ficou piscando osímbolo da bateria vendo para retirada de peças ,Usado,50,Sony Z3 ,Sony
988,Candelária,59064-120,Natal,"celular novo na caixa, nunca usado. Troco por TV55"" ou 50"" polegadas. Ou vendo 950 reais.troco emum celular LG Power tela 6 polegadas. ",Novo,950,Motorola g7 ,Motorola e Lenovo
989,Potengi,59124-500,Natal,"vendo lgk10 2017, 32g, funcionando perfeitamente,pra quem quiser ajeitar a tela ou não, 100 reaisno alecrim cel (já procurei saber) pra vender logofalar no whatsapp 9 8826-1340... ver número. quem não quiser ajeitar, funciona perfeitamenteassim tambem. ",Usado,270,K10 ,LG
990,Planalto,59073-166,Natal,"Seminovo biometria funcionando perfeitamente,botão volta e fechar abas não está funcionando,tela sem nenhum arranhão! Whats 84 9686227... ver número407 ",Usado,500,Vendo J7 PRIME ,Samsung
991,Candelária,59066-030,Natal,"998458070... ver número (whatsapp ou ligações) GALAXY S10 128GB PRETO, IMPECÁVEL, APENAS 5 DIASDE USO, COMPLETO NA CAIXA COM TODOS ACESSÓRIOSORIGINAIS(nos plásticos) E NOTA FISCAL DA MAGAZINELUIZA(nao tem vínculo com Operadora nenhuna,portanto as atualizações de Software são lançadasmais rapidamente) .(ACEITO CARTÃO DE CRÉDITO, COM ACRÉSCIMOS DAMAQUINETA) ",Usado,3329,Galaxy S10 128GB 5 Dias de Uso com NF ,Samsung
992,Neópolis,59088-380,Natal,"Vendo iPhone 7 Plus 32GB , completo , interessadoschamar no wpp 991521521... ver número",Usado,2450,Vendo iPhone 7 Plus ,Iphone
993,Cidade Nova,59072-570,Natal,"iPhone usado, bem conservado e com poucas marcasde uso ",Usado,1800,IPhone 7 32gb rose ,Iphone
994,Candelária,59066-030,Natal,"998458070... ver número (whatsapp ou ligações)GALAXY S10 128GB BRANCO, IMPECÁVEL, APENAS 1SEMANA DE USO, COMPLETO NA CAIXA COM TODOSACESSÓRIOS ORIGINAIS(nos plásticos) E NOTA FISCALDO CARREFOUR(nao tem vínculo com Operadoranenhuna, portanto as atualizações de Software sãolançadas mais rapidamente) .(ACEITO CARTÃO DE CRÉDITO, COM ACRÉSCIMOS DAMAQUINETA) ",Usado,3349,Galaxy S10 128GB Branco 1 semana de Uso ,Samsung
995,Capim Macio,59082-110,Natal,IPhone 7 128gb Aparelho super conservadoTela e traseira sem qualquer marca ou arranhão. Icloud em meu nome Biometria funciona perfeitamente Desbloqueado para todas as operadoras Não aceito troca!!!Mais informações pelo whatsapp 99628-9503... ver número,Usado,1699,IPhone 7 128gb Red muito novo! ,Iphone
996,Candelária,59066-030,Natal,"981624493... ver número(WHATSAPP ou Ligações) iPhone 8 256GB, MUITO CONSERVADO, FUNCIONANDOPERFEITAMENTE, DESBLOQUEADO PRA TODAS OPERADORAS,SAÚDE BATERIA BOA EM 89%, ICLOUD LIVRE. Acompanha:CARREGADOR E CABO DE DADOS. Não Aceito Trocas! Apenas Venda! ",Usado,2290,IPhone 8 256GB preto bem Conservado ,Iphone
997,Barro Vermelho,59022-610,Natal,"Smartband M3 nova! Última unidades!- Monitor cardíaco;- Monitor de pressão;- Pedometro;- Alarme;Você ainda pode ver suas notificações pelapulseira e usá-la controle para fotos!Uma por 60,00 e as duas por 100,00!! ",Novo,60,Promoção imperdível!!!!! ,Outras marcas
998,Potengi,59110-200,Natal,"aparelho estado de zero - sem defeitos - biometria 100% - aparelho todo original - acompanha fonte cabo fone adp película capa - sem marcas de uso - capacidade máxima bateria 100% - GARANTIA ATÉ 04/05/2020- APARELHO 1 mês e 11 dias de uso- valor 1899,99 valor - A vista ou no cartão com acréscimo  10x 235,68. Entrego norte shopping midway natal shopping - Whats ou ligação 99607-3110... ver número Falar com Victor ",Usado,1899,IPhone 7 32g ,Iphone
999,Nova Descoberta,59075-310,Natal,"Celulares retirada peças todos 80,00 valornegociável só venda não troco somente avista valornegociável faço entrega wassap 98725-9173... ver número só vendanão troco somente avista valor negociável façoentrega motivo da venda não uso ",Usado,80,Celulares retirada peças ,Outras marcas
1000,Lagoa Nova,59063-150,Natal,"Vendo Iphone-7 novo na cor rosê. Capacidade de32gb. Ele vem acompanhado de nota fiscal eacessórios: caixa, carregador e fone de ouvido. Ps: Não vendo, apenas troco. ",Novo,2300,Iphone-7 (32gb) NOVO !! ,Iphone
1001,Nova Descoberta,59075-310,Natal,"Celular simples Nokia perfeito estado e funcionaperfeitamente com somente aparelho 50,00 valornegociável só venda não troco somente avista valornegociável wassap 98725-9173... ver número só venda não trocosomente avista valor negociável faço entregamotivo da venda não ",Usado,50,Celular simples Nokia perfeito estado e funciona perfeitamente ,Nokia
1002,Candelária,59066-030,Natal,"981624493... ver número(WHATSAPP ou Ligações)iPhone 7 128GB Jet Black, MUITO CONSERVADO,FUNCIONANDO TUDO PERFEITAMENTE BEM, DESBLOQUEADOPRA TODAS OPERADORAS, ICLOUD LIVRE, SAÚDE BATERIA:90% MUITO BOA, ACOMPANHA: CARREGADOR E CABO DEDADOS. Não Aceito Trocas! ",Usado,1579,IPhone 7 128GB Jet Black bem Conservado ,Iphone
1005,Candelária,59066-030,Natal,"981624493... ver número(WHATSAPP ou Ligações)iPhone X 256GB Preto, muito Conservado,FUNCIONANDO TUDO PERFEITAMENTE, Saúde da BateriaBoa em 89%, DESBLOQUEADO PRA TODAS OPERADORAS.iCloud Limpo. Acompanha: Carregador e Cabo de Dados. Motivo Venda: comprei XS Max. Não Aceito Trocas! ",Usado,3479,IPhone X 256GB bem Conservado ,Iphone
1006,Potengi,59124-550,Natal,sem marcas de uso ,Usado,330,Celular LG k10 ,LG
1007,Cidade Alta,59025-590,Natal,vendo este celular muito bom para o uso diário temmenos de 2 anos bem conservado funciona tudoperfeitamente ,Usado,250,Celular Lenovo Motorola ,Motorola e Lenovo
1008,Barro Vermelho,59030-590,Natal,Carregadores Charger carga rápida 3.1 A com maisduas entradas de cabo carrega qualquer Andróide.Entrega grátis Parnamirim e Zona Sul.Zap:99677-8803... ver número/98777-6580... ver número,Novo,25,Promoção ,Samsung
1009,Lagoa Azul,59135-030,Natal,troco tablet da multilaser em celula acompanharcarregado original e nota fiscal zap 998977794... ver número,Usado,120,So troco ,Outras marcas
1010,Felipe Camarão,59072-105,Natal,vendo celular em ótimo estado de conservaçãofuncionando tudo perfeitamente. 32 gigas tela de5.7 acompanha carregador. capa e película. ,Usado,700,Asus zenfone 4 Max plus ,Asus
1011,Planalto,59073-230,Natal,"poucas marcas de usos, mas está em perfeito estadofuncionando tudo!! troco ele de preferência (g5 s) ",Usado,400,Vendo ou troco J5 Prime ,Samsung
1012,Ponta Negra,59090-000,Natal,"vendo o celular galaxy note 9 , na cor preta ,comprado no mes 05/12/2018, comprei por 4.620,00,na Loja Fast Shop No shooping do Rio de janeiro .estou vendendo por 3.150 ,o produto em perfeitoestado sem marca de uso acompanha todos acessorios,com pelicula e acompanha duas ""capinha de brindeuma Rosa e uma roxa"" ",Usado,3150,"""Galaxy Note 9"" (3.150) ",Samsung
1013,Pajuçara,59125-320,Natal,"funcionando tudo 2 chips cameras, wifi,ligaçõestudo ok8gb de memória ",Usado,180,Moto G1 ,Motorola e Lenovo
1014,Dix Sept Rosado,59052-061,Natal,Fonte de carregador de iPhone da Apple original ,Usado,40,Fonte de carregador ,Iphone
1015,Igapó,59104-290,Natal,J1 mini semi novoNão tem trincoNão tem defeitoAcompanha somente o aparelho(aceito cartão ?) Wats para contato 84 9984356... ver número06 ,Usado,180,J1 mini bem conservado ,Samsung
1016,Redinha,59122-210,Natal,semi novo Whatsapp 988488179... ver número,Usado,380,Celular j2 prime rosa 16gb ,Samsung
1017,Nova Descoberta,59075-320,Natal,Vendo motoe 5 play em perfeito estado com garantiade 1 ano com marcas de uso pega 2 chip com frontalcâmera traseira cartão de memória com biometriacom 16 gigas e etc qualquer coisa fala no WhatsApp84 99428-4996... ver número vai com a nota fiscal vai na caixacom fone de ouvido e carregador ,Usado,600,Vendo motoe 5 play ,Motorola e Lenovo
1018,Igapó,59104-290,Natal,Vendo j2 prime em ótimo estadoSem defeitoNão tem trinco(apenas um trinquinho na parte decima )Acompanha somente o aparelhoWats para contato 84 9984356... ver número06 ,Usado,199,J2 ,Samsung
1019,Rocas,59010-470,Natal,aparelho A8 2018 DOURADO64 GIGASCÂMERA DUPLA FRONTALRESISTENTE A ÁGUA E POEIRAacompanhaNOTA FISCALFONE DE OUVIDOPELÍCULA DE NANO GEL CAPA DE PROTEÇÃO CARREGADOR TURBO DISPENSO CURIOSOS!!!!!!!(APENAS VENDA)Celular encontra-se em natal-RN ENTREGO EM LUGARES PÚBLICOS! ,Novo,1000,A8 2018 4 meses de uso com nota fiscal ,Samsung
1020,Lagoa Nova,59056-270,Natal,Celular SEM MARCAS DE USOCOM CAIXA E ACESSORIOSNOTA FISCAL TAMBEMCHAMAR whats 99916-2376... ver númeroVALOR NEGOCIAVEL ,Usado,600,Celular J7 Prime ,Samsung
1021,Potengi,59121-050,Natal,"bateria portátil novinha, usada poucas vezes. faz4 cargas todas duas.90 as duas ",Usado,90,Vendo ,Acessórios
1022,Bom Pastor,59060-785,Natal,"Celular muito bom, o volume mais imperou, mas foraisso pega tudo normal.qualquer dúvida chama no Whatsapp (84) 98631-0803... ver número",Usado,270,Samsung On7 ,Samsung
1023,Potengi,59129-200,Natal,Garantia- Nota fiscal- Todos os acessórios ,Usado,2249,S9+ plus 128gb ,Samsung
1024,Felipe Camarão,59074-160,Natal,esta trincado mas funciona perfeitamente ,Usado,150,Apenas Vendo LG-G2 Lite Esta Trincado ,LG
1025,Dix Sept Rosado,59052-200,Natal,"tambem vendemos relogioscaso desejar outros relogios: peça o catálogo invicta, hublot, diesel e etc.super promoção varios relógios mais informações e para catalago 98802 0601... ver númeroa partir de 99 reais ",Novo,82,Fone sem fio i8 na promoçao ,Iphone
1026,Capim Macio,59080-015,Natal,"PRONTO ENTREGA EM NATAL/RN*NOS SIGA PARA FICAR LIGADO EM OFERTAS DIÁRIAS QUEPREPARAMOS COM MUITO CARINHO PRA VOCÊ. *TEMOS VÁRIOS OUTROS MODELOS,NÃO DEIXE DE NOSCHAMAR NO WHATSAPP,EIN!?*Trabalhamos somente com produtos originais.*Aceitamos CARTÕES DE CRÉDITO (Todos Os Cartões)Incide Em Taxas !*Recebemos seu aparelho como parte do Pagamento!Atendimento Diferenciado!#Contato: (Whatsapp):84 99666-4800... ver número",Novo,2849,IPhone 7 Plus 32Gb Zero Lacrado c/Garantia Apple de 1 Ano ,Iphone
1027,Lagoa Nova,59056-230,Natal,"dois telefones sem fio PANASONIC.R$ 100,00 cada.Em perfeito estado de funcionamento ",Usado,100,Telefone sem fio panasonic ,Outras marcas
1028,Pitimbu,59068-580,Natal,carregador fixo ,Novo,15,Acessórios ,Outras marcas
1029,Neópolis,59080-280,Natal,"Apenas venda, aparelho impecável funcionando tudoperfeitamente não possui marcas de uso. Acompanhacarregador e aparelho. Já com película de vidro ecase Valor negociável à vistaAceito cartãoWhatsApp: 99836-7425... ver número",Novo,1050,IPhone 6s 16gb 4G Silver ,Iphone
1030,Ponta Negra,59090-330,Natal,samsung galaxi j5pro 32 giga camera de 13megapixels e flach tanto atrás como no self estadode Novo aceito cartão acréscimos da maquininha pôrconta do comprador ,Usado,750,Celular Samsung j5 pro 32 giga ,Samsung
1031,Capim Macio,59082-400,Natal,"Pulseira Xiaomi Mi Band 3 + PelículaA Mi Band 3 é uma pulseira inteligente da Xiaomique é acessível ao mesmo tempo em que oferecerecursos interessantes, como a tela OLED em umcorpo bastante diminuto e até 20 dias de autonomiabateria.Recursos Especiais:Funções: Alarme / Relógio,Indicações de chamadas, Mensurar batimentoscardíacos, Pedômetro, Lembrete de sedentarismo,Gerenciamento do sono, Notificações de SMS,Contador de passos.R$165,00 ",Novo,165,Pulseira Inteligente Xiaomi Mi Band 3 Original Lacrado + Película ,Acessórios
1032,Capim Macio,59082-055,Natal,Aparelho original seminovo em ótimo estado deconservação e com 3 meses de garantia. Acompanhafone e carregador originais.Tem dúvidas? Entre em contato conosco pelowhatsapp 839967532... ver número37 ou 839871344... ver número90. Tire suasdúvidas e faça uma compra segura!Aceitamos todos os cartões em até 12x (comacréscimo) ,Usado,1999,"SAMSUNG GALAXY S8+ 64GB AMETISTA, estado de zero completo, garantia 6 meses +NF ",Samsung
1033,Bom Pastor,59060-032,Natal,"Vendo um iPhone 8 Plus de 64g na cor prata emperfeito estado, sem marcas de uso com todosacessórios valor 2.800,00 avista e 3.000,00 nocartão parcelo em até 6x ",Usado,2800,IPhone 8 Plus ,Iphone
1034,Neópolis,59086-005,Natal,"CHEGOU O QUERIDINHO DA GALERA !!!WhatsApp 98744-1866... ver númeroPara você que vive sem memória no celular, chegouo Pen drive 3 em 1.Funciona em iPhone, Samsung e computadores. Acompanha Pen drive de 32G e bolsinha paraarmazenamento ",Novo,90,Pen Drive 3 em 1 para iPhone/Samsung/PC ,Acessórios
1035,Candelária,59064-660,Natal,"Celular em até 24x na sua fatura mensal?Isso mesmo! Você que tem empresa, já pode adquiriro seu smartphone em 24x sem entrada e semcomprometer o limite do seu cartão de crédito.Temos diversos modelos em nosso estoque:iPhone, Samsung, Motorola, LG, dentre outros.*Oferta válida apenas para clientes empresariaiscom CNPJ ativo;*Oferta válida para clientes MEI;*Aparelhos novos, na caixa lacrada, com NotaFiscal e garantia de fábrica; ",Novo,4764,IPhone xr ou xs ,Iphone
1036,Petrópolis,59012-300,Natal,um ano de uso novo 99215 8331... ver número whats app 99668 9093... ver númerocel ,Usado,250,Celular LG K4 ,LG
